repair_count,open_repair_count,asset_age_years,warranty_days_remaining,active_hours_30d,crash_count_30d,battery_health_percent,maintenance_within_30_days
1,0,5.1185,524,246,2,76.75,0
0,1,0.6849,238,643,4,80.63,0
2,0,7.4393,217,323,2,74.94,1
4,2,6.3553,691,561,2,72.54,1
2,1,1.2688,409,283,2,74.89,0
2,1,4.1214,-12,701,4,52.01,1
3,1,2.0924,167,585,2,75.15,0
3,1,0.5797,475,219,3,68.46,0
2,2,0.7059,406,679,0,83.31,0
0,2,2.7967,308,487,3,63.99,0
1,1,3.5099,531,676,3,95.05,1
2,1,4.8216,62,594,7,50.39,1
2,0,6.4586,41,89,4,53.44,0
5,0,3.124,420,669,4,93.74,0
2,0,5.721,166,602,2,65.2,1
2,0,1.844,668,272,2,68.33,0
5,1,4.9752,103,373,3,84.33,1
1,2,8.2125,332,147,1,46.8,1
4,1,6.1746,-19,99,4,99.77,1
2,2,6.7942,1,588,1,91.89,1
4,2,5.4424,237,466,7,93.51,1
3,0,4.2488,451,600,6,73.29,0
2,1,3.9445,696,206,1,84.78,0
3,1,0.5423,25,717,7,73.19,0
3,0,2.4207,400,558,2,90.01,0
2,0,2.446,618,144,5,57.34,0
2,0,5.6432,386,207,4,79.42,1
4,0,7.0519,522,105,4,84.78,1
2,0,6.2651,269,371,6,66.21,0
0,0,5.3235,624,568,1,74.69,0
4,1,0.8536,245,322,7,78.18,1
6,1,3.5216,594,490,6,90.66,1
2,3,1.3292,576,646,4,67.0,1
3,0,2.0761,377,132,3,96.17,0
3,1,6.4381,35,236,2,70.89,1
0,0,3.2255,-18,483,4,92.81,1
3,1,2.727,208,407,2,84.47,1
6,0,3.5602,376,546,3,51.19,0
2,2,7.0473,235,611,4,60.97,1
1,0,3.412,384,634,6,97.42,0
2,1,2.035,28,288,4,57.56,0
3,0,5.7554,433,414,3,72.58,1
1,1,4.0371,397,128,2,88.35,0
0,0,2.5117,610,695,3,86.62,0
2,2,1.8738,4,696,9,53.62,1
4,0,6.1687,326,629,3,97.12,1
2,0,3.5642,642,427,7,90.29,0
1,0,1.2555,145,637,7,97.97,0
2,1,5.1947,99,376,3,48.21,1
2,0,0.9076,175,168,4,62.86,0
0,0,7.6915,407,576,4,91.91,1
0,0,5.4573,432,213,3,78.58,0
2,0,0.9164,27,384,2,71.51,0
2,2,4.8601,-17,425,4,82.4,1
3,0,5.4344,345,547,5,99.68,1
3,2,4.5042,485,651,3,83.04,1
2,1,7.9458,449,671,3,48.6,1
3,2,8.3534,710,713,7,76.77,1
0,2,4.8809,384,126,1,85.81,0
2,0,6.082,292,336,5,63.05,1
0,0,2.6122,663,479,3,85.5,0
0,1,1.816,693,204,4,63.85,0
3,2,1.2584,152,344,2,77.22,0
3,0,3.3653,8,679,1,47.2,0
0,0,6.7302,411,438,2,71.26,0
1,0,1.4344,432,592,4,92.11,0
1,1,1.3901,627,446,8,65.92,0
3,1,7.0823,335,612,2,78.48,1
0,1,1.3975,405,357,2,96.96,0
4,3,2.6438,250,354,6,73.89,1
4,1,3.2608,224,428,6,51.08,1
3,1,3.67,96,494,4,78.25,1
6,0,5.5807,60,483,5,74.99,1
1,1,3.2317,74,499,6,98.65,1
1,1,3.6487,499,587,12,52.81,1
1,1,8.4756,337,448,7,67.95,1
2,0,2.7392,175,347,2,71.94,0
3,1,1.6702,607,207,2,87.54,0
2,0,1.8541,92,503,4,64.06,0
3,1,8.2968,7,702,6,75.59,1
3,0,1.2651,51,364,3,64.6,0
4,2,2.0788,613,306,4,94.68,0
1,0,6.6362,-18,681,2,99.26,0
3,0,2.5816,315,463,4,78.76,0
3,0,1.697,325,708,4,88.76,0
4,1,3.1857,311,554,3,55.87,0
2,1,4.8098,660,207,2,87.22,0
2,0,1.0936,241,302,1,74.38,1
2,1,5.3657,439,245,3,98.57,0
3,0,1.0009,553,669,2,47.24,0
5,2,5.6909,210,685,6,96.03,1
5,0,8.3869,86,582,5,53.07,1
1,1,8.3558,12,583,2,91.22,1
3,0,6.4861,714,642,6,83.44,1
1,1,0.5968,678,142,6,65.22,0
4,1,7.4785,711,674,5,50.79,1
3,1,1.8547,103,461,4,73.61,0
3,1,2.4191,705,208,4,88.7,0
4,0,7.3836,36,600,2,49.89,1
2,0,7.8705,637,348,4,56.69,1
4,2,7.6618,208,464,4,53.41,1
2,0,1.8492,194,256,5,80.42,0
1,1,1.7073,225,509,4,64.44,0
2,0,6.0523,42,387,7,73.13,1
3,1,8.2346,-23,275,0,56.27,1
1,0,3.57,518,483,4,82.86,0
2,1,1.5474,369,623,7,81.1,0
0,1,2.9061,223,490,4,47.7,1
1,0,0.5291,609,442,4,86.44,0
1,1,5.3071,-10,623,3,61.02,1
2,2,6.36,39,85,1,82.86,1
3,0,4.3486,168,499,1,50.05,1
4,1,7.8423,511,339,2,91.36,1
1,0,2.5871,197,112,1,59.2,0
2,2,8.2761,377,147,1,58.04,1
0,1,8.3092,240,212,2,51.82,1
2,0,5.9816,567,644,4,53.97,0
2,2,0.8415,109,316,2,61.83,0
1,1,3.114,148,313,3,59.51,0
0,0,2.0734,378,614,4,61.79,0
3,0,5.5114,720,131,4,72.14,0
3,0,5.6734,635,473,2,59.53,1
2,2,4.8514,73,642,3,47.08,1
2,0,5.5702,656,546,2,86.33,1
2,1,0.8959,205,129,7,63.03,1
4,1,3.2397,435,269,6,92.03,0
4,1,2.0371,613,337,4,64.77,0
1,0,4.5308,410,247,2,82.54,0
2,0,6.4257,126,239,3,68.54,0
1,1,3.9343,369,544,4,50.93,1
3,1,1.9455,304,428,2,66.58,0
3,0,7.0252,518,319,4,75.86,0
1,0,3.7361,82,300,1,59.93,0
1,1,3.2586,506,457,1,54.21,1
2,2,2.1801,249,542,2,95.07,0
0,0,4.5215,335,220,5,92.52,1
1,0,3.07,118,680,3,89.54,0
4,1,8.0356,486,421,4,86.25,1
3,2,1.7975,463,531,3,88.92,0
6,0,7.1624,300,637,4,83.81,1
1,0,1.5848,449,318,6,69.51,0
6,1,4.9218,634,280,3,76.94,1
0,0,7.5011,515,287,2,87.98,1
2,1,6.0463,187,382,3,57.79,1
1,2,7.6097,60,120,4,79.29,1
0,0,6.0004,634,355,4,74.29,0
3,1,8.4879,642,361,6,53.24,1
2,0,4.9521,114,598,2,53.66,0
3,0,7.2869,474,663,2,72.27,0
0,2,7.7144,478,597,4,75.32,0
0,0,2.0237,262,113,5,69.72,0
6,0,2.5013,53,117,4,56.21,0
2,0,3.0931,650,567,5,48.15,1
1,2,5.9806,99,204,5,85.4,1
4,0,8.0301,196,670,2,49.78,1
3,0,0.9966,384,120,7,79.33,1
1,0,3.7109,656,269,4,98.7,0
2,1,4.4061,471,434,2,80.6,0
1,1,0.6057,412,503,10,69.31,0
1,2,1.8728,310,579,7,89.65,0
2,1,8.3824,148,607,7,95.2,1
3,0,1.661,211,196,3,93.69,0
2,0,2.9412,324,208,6,45.29,0
4,0,3.1417,504,615,3,66.3,0
0,0,5.1874,193,566,5,45.51,1
0,0,3.0822,216,494,2,76.58,0
2,2,3.4443,123,573,2,50.72,1
0,1,6.3868,142,608,1,79.33,1
6,1,7.9024,400,117,1,73.1,1
3,1,1.1216,449,679,4,87.15,1
2,0,5.5111,509,333,2,70.58,1
3,0,6.868,520,613,2,81.0,0
2,0,6.0638,443,280,3,69.08,0
1,0,5.769,104,253,4,92.91,1
4,1,1.2484,387,239,6,68.33,1
0,1,0.831,334,401,4,96.04,0
3,1,8.0599,407,522,1,78.87,0
3,1,2.9388,307,418,2,95.4,0
3,0,6.1595,-19,144,4,90.2,1
2,2,7.5748,112,637,5,62.25,1
2,0,8.2274,463,648,5,52.2,1
1,0,3.0933,470,471,3,53.04,1
3,1,3.9734,110,360,7,83.23,0
3,0,2.5539,713,579,3,72.84,0
2,0,3.5161,156,506,2,52.19,1
2,0,1.9466,67,255,3,72.98,0
2,0,0.8253,130,489,4,69.75,1
2,0,3.3783,474,675,2,48.64,0
2,1,1.8502,199,156,8,86.89,0
2,0,0.665,431,608,5,80.82,0
1,0,4.5254,278,587,6,84.54,0
5,0,0.7884,63,93,5,75.71,0
6,0,7.344,226,256,4,88.1,1
0,1,2.8483,502,521,7,62.11,1
2,0,3.4177,277,208,2,55.14,0
1,0,5.2667,388,100,4,60.6,0
2,0,3.4438,549,268,6,67.21,1
1,1,1.4809,18,288,5,96.02,0
2,1,3.3039,-29,92,2,95.68,0
4,1,8.0277,447,271,1,83.84,1
2,0,6.1075,350,214,3,64.32,1
2,1,2.577,715,241,5,83.0,0
1,0,2.0376,428,343,3,69.69,0
1,0,6.6826,141,428,5,99.77,1
3,0,3.2992,95,603,5,73.59,1
2,0,2.1172,322,539,3,87.01,0
4,1,4.5658,83,608,4,56.68,1
1,0,6.5822,485,113,6,48.11,0
6,0,0.5709,194,279,3,63.65,1
0,1,6.2624,292,292,3,85.41,0
2,0,5.0907,366,130,4,77.05,0
2,1,7.7437,326,126,2,48.01,1
0,0,0.5741,306,127,2,45.18,0
3,0,2.0569,333,413,4,62.94,0
2,0,7.8088,260,674,6,94.7,1
3,0,0.9083,12,638,4,45.49,0
3,3,1.8031,130,256,5,77.79,1
1,2,4.443,309,654,3,50.81,1
1,0,4.3868,469,441,7,66.17,0
2,0,0.6211,398,154,2,62.56,0
2,3,7.7896,574,118,6,53.39,0
3,0,5.0133,101,100,2,55.52,1
1,1,6.4574,395,272,3,94.61,1
3,0,1.3596,436,294,4,52.89,1
4,0,6.4166,130,251,2,94.15,0
3,2,5.3799,155,155,6,52.14,1
4,1,3.4788,-11,349,2,95.78,0
3,0,2.4743,669,351,6,52.69,0
0,0,5.208,584,293,4,86.8,0
2,0,2.92,343,262,4,97.21,0
2,1,7.1313,304,591,5,61.89,1
4,0,7.8968,-4,214,5,70.18,1
3,0,0.6442,151,143,4,87.75,0
2,1,7.5236,90,338,2,55.12,1
1,1,1.3404,264,690,3,81.38,0
2,0,2.6362,299,191,6,95.34,1
4,0,3.5489,441,394,1,71.57,1
2,1,7.3814,8,697,4,84.69,1
1,1,2.9473,704,494,4,88.81,1
1,0,5.3545,195,202,3,86.23,1
2,1,3.5275,290,579,5,57.94,0
4,2,4.6647,326,330,2,92.92,1
3,0,0.7354,581,313,5,94.02,0
0,1,2.5906,170,657,3,85.37,1
1,1,1.1265,503,413,4,83.66,0
2,0,8.0409,485,382,6,65.06,1
2,0,1.9852,657,513,6,48.23,0
3,0,2.8919,141,537,5,82.54,0
4,0,5.4564,384,676,9,97.61,1
2,0,3.123,266,579,5,78.43,0
0,0,6.1284,135,458,7,85.9,0
0,0,4.5154,384,159,4,81.69,0
4,0,8.1724,563,677,4,99.24,1
2,1,6.8075,389,360,4,69.74,1
2,1,3.0986,489,327,1,87.17,0
2,0,5.758,234,407,4,88.82,0
0,0,7.5925,37,664,8,77.5,1
1,1,1.675,148,706,8,58.82,0
1,1,2.5363,79,495,5,49.44,1
1,0,8.2173,86,623,5,54.18,1
2,1,6.2336,409,679,1,68.46,1
2,0,0.8222,5,564,4,63.28,0
6,1,8.3517,570,672,5,72.98,1
1,0,7.9193,683,627,4,64.44,1
4,0,0.8126,561,712,3,83.84,0
2,1,3.704,254,566,0,49.93,1
5,0,6.9456,522,503,4,62.55,1
5,1,4.6641,372,390,2,96.03,0
1,3,7.3312,420,562,4,63.98,1
4,0,3.2162,647,87,3,76.57,0
1,4,8.3603,500,503,5,45.27,1
1,1,5.9946,452,392,4,81.5,1
3,0,8.0401,219,316,6,63.42,1
2,0,1.1608,590,592,6,86.69,1
4,1,1.5816,314,580,4,55.32,0
4,0,1.4249,-5,584,1,84.59,0
0,2,2.0287,54,240,4,83.63,0
2,2,3.4788,-2,227,3,63.0,1
0,0,1.5719,-11,248,1,54.56,0
3,0,3.8218,524,575,5,48.77,1
3,0,1.4391,419,104,1,99.97,0
5,0,8.0467,437,633,3,89.81,1
2,0,3.9499,217,495,5,88.96,0
2,1,5.6145,570,344,3,91.79,1
4,2,8.399,580,683,7,48.96,1
2,2,7.327,353,154,2,80.31,1
1,0,4.8683,689,449,6,86.09,0
4,1,1.3714,140,295,3,59.71,1
0,0,2.0809,365,445,3,59.92,0
1,0,1.7702,109,709,4,78.7,1
1,0,3.0953,646,358,3,85.7,0
1,1,7.0687,39,100,6,95.8,0
2,1,0.5808,-19,568,4,92.77,0
2,0,2.1101,465,646,1,71.06,1
4,1,6.797,662,335,3,90.75,0
2,1,8.2471,672,427,4,49.02,1
2,3,2.811,525,347,7,75.47,1
1,0,0.9653,491,247,4,52.67,0
3,1,1.0529,435,509,3,95.49,0
2,0,4.3018,298,644,2,64.81,1
2,1,1.1375,331,642,3,77.61,1
0,1,4.7926,518,496,2,98.98,0
1,0,5.8963,390,355,7,57.24,0
3,0,2.125,555,631,2,49.46,1
5,3,8.4674,160,592,6,78.78,1
1,0,4.5557,64,184,2,67.52,0
2,0,8.0593,678,284,3,98.38,1
8,3,4.7043,267,180,5,60.04,1
1,0,4.3059,416,697,5,49.62,0
1,1,1.0902,394,441,1,76.28,0
3,1,7.7407,683,474,4,76.76,1
3,0,6.7363,307,630,3,60.93,1
2,3,6.7179,328,429,2,61.41,1
3,0,3.2229,350,472,6,92.79,0
4,1,2.7258,60,702,8,72.08,1
1,2,4.0619,355,532,3,65.72,1
0,0,0.9311,730,399,3,94.65,0
2,0,1.3995,82,167,7,70.71,0
1,0,1.918,575,199,2,76.05,0
0,3,4.1137,546,98,2,64.89,0
0,0,4.9757,234,317,3,63.86,0
1,0,1.3959,154,553,5,64.37,0
2,0,7.7137,636,230,5,82.97,1
5,0,3.0093,671,113,6,92.46,0
0,0,7.3857,595,214,3,76.63,0
1,3,3.8757,292,98,3,77.63,1
3,1,6.981,620,224,4,63.51,1
2,2,8.1797,663,700,2,51.99,1
0,0,2.374,671,498,8,90.55,1
2,0,5.3386,718,120,5,86.2,0
0,1,5.0499,636,221,4,97.32,0
3,1,8.3841,134,168,7,79.2,0
3,0,2.9034,384,251,6,53.03,0
5,1,2.5332,57,108,4,87.45,0
1,0,3.4435,189,226,1,79.28,0
5,1,3.8279,194,450,4,89.78,0
3,0,2.3826,696,107,3,85.26,0
4,2,0.9087,133,221,6,80.7,0
2,0,4.242,603,370,8,53.19,1
1,2,2.6149,274,185,4,99.75,0
5,0,6.546,169,529,4,80.73,1
4,1,0.8407,609,219,6,54.15,0
3,2,1.5572,88,451,5,52.44,0
5,0,0.9351,315,280,3,70.67,0
0,0,4.1769,188,294,3,61.61,1
4,1,4.0004,416,561,3,82.92,0
1,0,5.7726,493,677,4,73.43,1
2,1,1.2011,670,514,8,94.13,0
2,1,6.0984,77,330,7,47.51,1
2,0,2.6815,93,165,3,86.24,0
3,4,2.5403,-3,691,4,65.93,1
3,1,7.6427,620,338,4,98.92,1
3,0,1.3869,591,330,4,91.07,1
2,0,8.0731,160,449,1,46.97,1
1,0,8.073,334,321,5,66.9,0
4,2,5.506,721,701,6,59.05,1
2,2,8.4519,414,340,2,76.62,0
0,0,5.4714,314,571,4,65.24,1
1,1,5.2875,113,558,4,69.43,1
2,0,3.8958,633,344,5,83.3,1
4,0,1.8276,398,248,6,80.43,0
4,1,3.6638,503,465,2,47.86,1
2,1,6.8186,693,309,1,74.5,1
2,1,1.3535,645,575,6,65.25,1
1,0,7.6356,292,325,4,94.91,0
1,1,3.7969,88,335,6,71.4,1
2,0,2.9075,585,650,3,54.0,1
2,0,6.1023,260,581,3,52.42,0
3,2,3.7126,723,90,7,67.54,1
2,0,0.7189,482,298,4,98.13,0
1,1,4.6325,325,412,2,63.55,0
5,2,6.489,210,151,4,52.42,1
4,0,8.4905,359,242,3,67.67,1
1,0,1.2291,220,705,4,77.02,0
1,0,5.6854,472,560,7,53.78,1
2,1,8.1988,329,102,4,59.75,1
4,0,4.4925,324,103,7,92.96,0
4,0,4.9028,521,358,1,65.46,1
2,0,5.0232,304,340,6,51.28,0
1,0,6.9441,661,571,4,86.62,1
1,0,7.3019,715,141,2,46.77,0
2,0,5.7038,724,670,2,71.82,1
2,3,1.1478,240,277,1,54.14,1
2,1,5.5623,84,620,3,75.91,1
5,1,5.0292,163,416,1,81.87,1
5,0,5.7572,232,139,5,49.29,1
2,1,3.3742,605,280,4,86.07,0
2,0,1.7155,723,302,3,69.01,0
1,0,3.8369,236,363,8,87.17,0
2,0,4.421,61,446,7,64.68,1
3,0,6.2058,-25,421,3,72.39,0
6,1,3.9765,713,304,3,76.3,0
1,1,7.6403,408,717,4,93.53,1
4,0,7.6753,337,587,2,61.1,1
2,0,3.9085,487,563,8,98.39,0
4,0,4.9601,195,245,3,62.13,1
4,0,8.2212,198,354,5,70.91,1
2,0,5.8946,257,612,5,67.44,0
3,0,7.6449,157,253,4,55.72,0
2,1,3.6533,505,134,5,61.75,0
1,1,8.0541,378,294,3,98.15,0
3,0,2.9087,272,368,2,57.62,1
3,1,7.9179,388,522,5,60.58,1
0,0,3.3412,106,132,2,97.64,0
2,3,2.7612,291,433,7,75.14,0
1,1,1.6474,357,574,5,95.85,0
2,2,3.4029,672,311,4,51.23,1
1,1,2.7415,452,484,1,57.05,1
5,0,2.7785,-23,194,5,79.04,0
1,4,1.2515,394,653,6,95.71,0
1,2,6.7289,639,100,7,73.11,0
1,0,3.1939,89,600,8,92.88,1
2,0,8.1479,289,225,6,70.64,1
1,0,3.8934,413,681,5,59.68,1
4,0,4.5236,36,334,2,94.02,0
2,1,6.1491,406,677,3,96.76,1
1,0,1.0834,562,149,10,46.17,0
3,2,0.5653,65,603,1,87.25,1
1,1,6.4125,721,596,3,47.06,1
3,0,2.0452,555,707,3,61.09,1
4,0,7.9939,464,425,6,55.03,0
1,0,1.6991,441,717,7,70.64,0
0,1,3.0367,129,680,8,66.31,0
1,1,1.9125,186,217,3,66.72,0
0,2,2.0768,281,91,4,69.41,0
3,1,2.517,190,149,3,91.17,0
3,1,1.7021,576,426,5,72.03,0
4,0,1.2469,559,187,4,90.58,0
4,1,5.9988,403,269,7,98.23,1
3,0,2.1581,560,92,2,54.38,0
2,0,4.1079,140,375,5,56.84,1
2,0,5.4975,301,387,3,80.88,1
4,1,7.0816,357,346,5,55.49,1
5,0,5.1036,430,424,4,95.16,1
1,0,5.7957,622,80,5,87.95,0
4,1,8.0731,10,140,1,84.64,1
3,1,1.0919,88,444,3,87.53,1
4,1,5.9118,501,352,7,47.27,1
3,0,4.7722,429,531,1,61.06,1
3,0,6.4442,206,473,5,50.69,1
2,1,3.7015,65,237,8,66.58,0
1,0,8.3033,490,379,2,76.23,1
5,0,0.5005,46,629,2,49.15,0
2,2,5.7833,87,289,2,93.32,1
0,2,5.1792,564,251,5,77.9,1
2,0,3.8641,154,302,2,60.89,0
4,1,6.7037,60,454,2,45.05,1
0,0,3.3835,306,221,4,71.71,0
4,0,7.3147,664,233,8,86.05,1
3,1,2.9098,110,97,3,98.65,0
5,1,4.8274,109,451,6,48.77,1
1,0,3.7073,256,436,3,65.62,1
4,0,0.8052,531,619,6,59.68,1
2,0,6.7081,270,553,8,56.95,1
1,0,4.2489,406,575,5,54.83,1
2,1,2.0367,524,681,3,67.35,0
2,1,8.4987,449,675,7,68.3,1
1,0,2.0369,382,460,3,57.67,1
0,1,7.3789,697,520,6,52.71,1
4,1,5.242,407,244,1,81.77,1
3,0,0.7048,265,705,6,95.87,0
1,0,1.9486,0,352,4,71.61,0
1,0,4.3397,484,252,4,67.1,0
3,1,7.5664,101,181,3,63.93,1
2,1,8.0318,95,354,2,98.11,1
2,0,4.8417,328,703,11,53.18,1
3,1,7.2755,289,531,2,85.08,0
6,0,8.0452,265,220,2,94.67,1
2,0,7.479,14,444,3,72.12,0
0,0,3.6643,677,293,4,52.29,0
1,3,1.0172,258,479,3,73.5,0
2,3,1.8521,462,509,4,72.23,1
3,1,5.7865,297,595,4,65.27,1
1,0,3.7966,24,97,2,67.51,0
2,0,4.0227,101,252,0,82.34,1
2,1,3.3767,645,298,1,89.71,0
0,1,3.4757,36,284,4,86.45,0
3,1,7.6673,631,567,2,82.94,1
2,1,2.4571,469,132,8,75.25,0
2,0,6.5546,611,341,7,68.66,1
0,1,5.056,556,484,8,71.31,0
1,0,7.6039,328,534,1,51.62,0
3,0,5.7391,559,193,4,84.88,0
2,1,2.8329,657,142,8,48.78,0
2,0,6.895,670,287,6,85.67,1
2,0,0.5612,338,326,3,87.93,0
1,2,6.9877,445,497,4,86.74,1
1,0,7.7087,439,119,7,83.01,1
4,2,1.3464,113,459,4,86.91,0
2,2,0.5892,454,351,6,93.46,0
3,0,8.1714,183,514,3,69.77,1
5,0,3.3847,120,279,5,77.03,1
2,1,0.6004,490,491,6,49.89,0
3,2,6.8365,415,659,6,54.79,1
4,0,5.7538,371,226,2,63.12,1
5,0,5.1282,601,708,3,90.96,0
3,0,1.9139,651,426,5,89.15,0
1,1,1.1623,494,416,7,74.97,0
2,2,6.0245,136,387,4,81.55,1
3,0,5.1595,9,210,4,91.01,0
2,0,1.3002,296,680,1,85.14,0
3,1,7.7851,589,621,2,82.74,1
0,0,5.0517,461,651,7,64.61,0
1,0,8.2657,525,392,5,64.18,1
1,0,8.0359,273,593,6,78.5,1
3,0,4.7992,355,609,5,63.14,0
1,2,6.2254,586,624,7,75.65,0
0,1,6.2017,55,379,3,69.15,1
1,0,3.4037,691,558,8,61.61,1
1,0,2.2117,300,198,4,53.18,0
2,0,5.957,208,702,7,60.04,1
2,1,4.663,43,334,0,49.19,1
4,0,2.7338,449,341,2,62.99,0
6,1,5.3443,382,97,3,93.62,0
6,0,4.721,23,534,1,47.57,1
2,0,1.0581,219,703,2,82.48,1
1,0,2.2605,14,340,4,80.88,0
2,0,0.7016,398,279,4,61.29,0
2,0,3.8301,508,256,6,86.21,0
3,0,0.9113,244,670,5,45.8,1
1,1,3.428,647,454,1,64.14,0
3,2,7.5465,376,541,6,55.15,1
4,2,5.4371,488,465,0,83.1,1
2,0,6.862,327,544,6,83.42,1
2,0,0.7142,190,596,6,92.07,0
2,0,4.5508,85,340,4,83.97,0
4,0,0.533,531,453,4,93.49,0
1,0,0.844,176,342,6,74.03,0
1,1,3.3581,111,179,4,56.6,1
4,2,2.5526,711,320,3,61.29,0
2,0,3.6886,674,416,6,53.37,1
1,0,2.8029,353,86,5,54.91,0
2,1,1.5472,321,286,6,80.27,0
3,1,1.7575,415,416,3,90.48,1
1,1,8.3648,686,241,3,65.84,1
0,0,2.4612,483,242,5,71.56,0
0,0,2.7706,29,642,3,94.74,0
1,0,2.7284,333,318,7,50.32,0
1,1,5.3142,340,227,4,82.51,0
1,0,5.9993,91,249,9,69.94,1
5,3,3.2366,455,555,6,91.76,1
4,0,2.0827,403,561,3,70.25,0
1,1,6.327,588,582,1,73.96,0
1,0,7.3446,265,251,4,63.3,1
2,0,7.267,591,169,3,82.02,1
3,0,5.8389,278,338,3,86.63,1
2,0,3.9388,134,190,5,94.48,1
3,2,0.6789,134,236,1,72.58,0
0,1,5.4806,388,256,1,60.26,0
3,1,7.1583,344,652,7,78.89,1
1,1,2.2047,456,262,3,87.37,0
3,2,8.3684,594,534,6,96.59,1
1,0,7.1569,645,580,4,60.58,1
2,2,4.9853,87,214,1,93.66,0
0,0,0.6292,-16,210,2,63.2,0
2,0,5.2746,27,397,4,46.4,1
3,1,0.8145,212,386,3,90.53,0
4,1,2.3012,449,157,2,58.8,1
1,1,5.0051,120,696,1,71.43,0
3,0,0.6827,89,559,8,83.32,0
3,0,4.9876,508,648,6,51.6,1
1,0,8.1994,135,359,7,51.05,1
3,1,6.1036,458,539,4,57.46,1
3,0,2.6825,33,429,9,76.44,1
3,0,5.5164,191,217,10,89.95,1
2,1,2.7962,715,583,6,50.88,1
0,0,1.1915,478,670,6,95.26,0
4,0,0.7682,338,117,5,72.42,0
0,2,1.2183,57,236,3,51.4,0
0,3,4.1084,429,585,3,93.9,1
4,1,5.8981,186,457,5,55.37,1
2,1,1.2749,505,388,4,76.09,0
